석식메뉴,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
"['맑은국', '고구마튀김', '해물볶음밥', '포기김치', '음료', '비빔메밀국수', '멕시칸샐러드']",1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"['우거지탕', '돈까스', '쌀밥', '포기김치', '영양부추무침', '꽈리고추어묵조림', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"['충무김밥', '오징어무침', '유부우동', '석박지', '핫도그&케찹', '오렌지']",0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
"['동태콩나물찜', '쌀밥', '봄동된장국', '포기김치', '궁중떡볶음', '우엉조림', '잡곡밥']",0,0,0,0,0,1,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"['고기전', '쌀밥', '아삭고추무침', '포기김치', '콩비지찌개', '가자미카레튀김', '잡곡밥']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
"['무피클', '참치주먹밥', '시금치흑임자샐러드', '오징어순대볶음', '쌀국수', '포기김치']",1,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"['두부계란부침', '쌀밥', '모듬쌈', '포기김치', '유자청돈육볶음', '잡곡밥', '미역장국']",0,0,0,0,1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"['유부주머니국', '오복지무침', '계란', '쇠고기퀘사디아', '김치볶음밥', '펜네베이컨샐러드', '열무김치']",1,0,0,0,1,1,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['순살닭갈비', '깻잎찜', '매운어묵국', '비엔나감자볶음', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,0,1,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"['치즈시즈닝치킨', '해물김치전', '무채국', '쌀밥', '해초무침', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
"['카레돈까스정식', '땅콩조림', '미소장국', '피클', '쌀밥', '블루베리드레싱샐러드', '포기김치', '잡곡밥']",1,1,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"['과일', '메밀전병만두', '치커리무침', '순두부찌개', '쌀밥', '포기김치', '삼치구이', '잡곡밥']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0
"['유부초밥', '오이생채', '수제핫도그', '포기김치', '시리얼과일샐러드', '음료', '잔치국수']",1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"['청국장찌개', '미역줄기볶음', '깍두기', '돈육장조림', '쌀밥', '황태양념구이', '잡곡밥']",0,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
"['쇠고기무국', '동그랑땡계란부침', '하루나무침', '쌀밥', '포기김치', '잡곡밥', '고등어조림']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['방울토마토', '치킨핑거', '요거트D', '포기김치', '단무지', '또띠아칩', '나가사끼짬뽕', '야채볶음밥']",0,0,0,1,0,0,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"['닭개장', '양배추쌈', '쌈장', '석박지', '쌀밥', '갈치구이', '햄감자채볶음', '잡곡밥']",0,1,0,1,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"['오므라이스', '가쯔오장국', '떡볶이', '오렌지', '포기김치', '고구마치즈구이']",0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
"['양념장', '돈육강정', '연두부', '쌀밥', '참나물땅콩무침', '열무된장국', '포기김치', '잡곡밥']",0,1,0,1,1,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['쇠고기숙주볶음', '오징어국', '쌀밥', '포기김치', '두부오꼬노미야끼', '잡곡밥', '오이미역무침']",0,0,0,0,1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"['토마토스파게티', '꽃맛살샐러드', '무피클', '바나나', '양송이스프', '포기김치', '멸치주먹밥']",1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['닭갈비볶음밥', '크림카레우동', '어묵국', '왕만두', '포기김치', '키위드레싱샐러드']",1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['주꾸미떡볶음', '치커리무침', '모듬소세지구이', '얼갈이된장국', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['순두부찌개', '쫑상추무침', '쌀밥', '계란찜', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,0,0,1,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"['유부주머니국', '오렌지주스', '스틱단무지', '미니버거', '포기김치', '야채비빔만두', '야채볶음밥']",0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['꽃맛살볶음', '도라지생채', '쌀밥', '꽁치오븐구이', '열무김치', '육개장', '잡곡밥']",1,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
"['취나물된장무침', '해물김치전', '닭오븐구이', '쌀밥', '포기김치', '연두부탕', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"['맑은국', '볶음밥', '사천식탕수육', '포기김치', '단무지', '망고드레싱샐러드', '짜장소스']",1,1,0,1,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"['청국장찌개', '돼지갈비찜', '쌀밥', '방풍나물', '포기김치', '계란말이', '잡곡밥']",0,1,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"['닭개장', '연근땅콩조림', '쌀밥', '셀프무쌈말이', '포기김치', '가자미카레튀김', '잡곡밥']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
"['꼬마김밥', '겨자장', '오이피클', '포기김치', '감자만두', '멕시칸샐러드', '잔치국수']",1,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['비엔나컬리플라워볶음', '갈치양념조림', '얼갈이나물', '쌀밥', '차돌박이찌개', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0
"['고구마범벅', '쌀밥', '옛날돈가스', '포기김치', '옥수수스프', '양배추샐러드', '음료', '잡곡밥']",1,0,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"['쇠고기숙주볶음', '무생채', '쌀밥', '열무김치', '배추된장국', '청포묵무침', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"['연두부찌개', '오이무침', '코다리조림', '바나나', '쌀밥', '포기김치', '순대야채볶음', '잡곡밥']",0,0,0,0,1,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0
"['짬뽕', '아이스슈', '볶음밥', '포기김치', '단무지', '탕수육']",0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['꽃게탕', '가지나물', '해라피겨자채', '쌀밥', '포기김치', '모둠장조림', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"['쨔샤이무침', '마파두부덮밥', '수제고로케', '포기김치', '유부장국', '생과일플레인샐러드']",1,1,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"['칠리소스', '깻잎양념찜', '쌀밥', '포기김치', '해물까스', '치즈닭갈비', '된장찌개', '잡곡밥']",0,2,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"['고기전', '임연수엿장조림', '두반장가지볶음', '쌀밥', '포기김치', '잡곡밥', '우거지해장국']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"['맑은국', '바나나와플', '쫄면야채무침', '김밥', '오징어튀김', '포기김치', '단무지']",0,0,0,0,0,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
['자기계발의날'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['주먹밥', '로제스파게티', '피클', '단호박스프', '포기김치', '샐러드', '음료', '마늘빵']",1,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"['팝콘치킨', '새알만두국', '도라지채무침', '쌀밥', '데리야끼소스', '포기김치', '잡곡밥', '두부새싹구이']",0,1,0,1,1,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"['오이생채', '감자고추장찌개', '쌀밥', '우엉잡채', '포기김치', '잡곡밥', '탕수어']",0,1,0,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"['취나물', '돼지갈비찜', '쌀밥', '초장', '열무된장국', '포기김치', '오징어브로컬리', '잡곡밥']",0,1,1,1,0,1,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['야채튀김', '김밥볶음밥', '옥수수샐러드', '냉모밀국수', '조각사과', '포기김치']",1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"['시금치나물', '닭살겨자냉채', '쌀밥', '포기김치', '가자미양념찜', '쇠고기미역국', '잡곡밥']",1,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"['돈육강정', '옥수수전', '쌀밥', '청경채무침', '포기김치', '된장찌개', '잡곡밥']",0,1,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"['모둠과일', '미소장국', '포기김치', '락교', '참치회덮밥', '고구마치즈구이']",0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
"['미트볼케찹조림', '알탕', '쌀밥', '잔멸치볶음', '머위대나물', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"['꽃맛살샐러드', '볶음밥', '열무김치국수', '포기김치', '단무지', '부추만두']",1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['참치김치찌개', '올방개묵무침', '쇠고기장조림', '가지나물', '깍두기', '쌀밥', '잡곡밥']",0,0,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"['쌀밥', '닭데리야끼조림', '매운어묵볶음', '포기김치', '감자국', '참나물땅콩가루무침', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['충무김밥', '오징어무침', '석박지', '핫도그&케찹', '오렌지', '미역장국']",0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0
"['해물된장찌개', '고추잡채', '쌀밥', '황태양념구이', '꽃빵', '포기김치', '청포묵무침', '잡곡밥']",0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0
"['소고기주먹밥', '피클', '또띠아피자', '흑임자샐러드', '쌀국수', '포기김치', '피크닉']",1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"['깍두기', '쌀밥', '방풍나물', '두부카프레제', '콩비지찌개', '잡곡밥', '탕수어']",1,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"['연두부찌개', '오이지무침', '쌀밥', '포기김치', '탕수육', '잡곡밥', '통도라지구이']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"['탄두리치킨', '작은밥', '모둠묵샐러드', '배추겉절이', '수박', '콩국수']",1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
['자기계발의날'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['올챙이만두국', '하와이안샐러드', '웨지감자', '해초무침', '빠에야', '포기김치']",1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"['장어강정', '청국장찌개', '치커리무침', '쌀밥', '포기김치', '잡곡밥', '오꼬노미야끼계란말이']",0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"['고등어카레구이', '꽃맛살볶음', '마늘쫑무침', '쌀밥', '포기김치', '육개장', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0
"['무피클', '후난식볶음밥', '가쯔오장국', '닭강정', '고구마그라탕', '포기김치']",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"['대구찌개', '김치녹두전', '쌀밥', '꽃상추무침', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,0,0,0,0,3,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"['수제고로케', '김밥', '포기김치', '찐옥수수', '키위드레싱샐러드', '잔치국수']",1,0,0,0,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"['탕평채', '시금치나물', '순두부찌개', '쌀밥', '탈탈소스', '포기김치', '해물까스', '잡곡밥']",0,1,1,1,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"['건새우마늘쫑볶음', '비름나물', '사천식탕수육', '쌀밥', '포기김치', '감자국', '잡곡밥']",0,0,1,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['오므라이스', '감자범벅', '미소장국', '오렌지주스', '포기김치', '새우또띠아']",0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"['해물된장찌개', '참치야채전', '쌀밥', '포기김치', '모둠장조림', '노각무침', '잡곡밥']",0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0
"['풋고추튀김', '꽃맛살샐러드', '유부초밥', '무초절이', '열무김치', '김치말이국수']",1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['미니함박조림', '감자채볶음', '쌀밥', '고추장찌개', '청경채무침', '포기김치', '잡곡밥']",0,1,0,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"['꽃게탕', '꽈리고추찜', '쌀밥', '사과맛살초무침', '포기김치', '잡곡밥', '소고기장조림']",0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0
"['토마토스파게티', '수제피클', '단호박스프', '목살필라프', '포기김치', '시리얼과일샐러드']",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['시금치나물', '언양식불고기', '쌀밥', '코다리강정', '포기김치', '잡곡밥', '호박잎된장찌개']",0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"['찐햇감자', '카레라이스', '해물볶음우동', '포기김치', '단무지', '매실쥬스', '유부장국']",0,1,0,0,1,1,1,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"['궁중떡볶이', '무생채', '쌀밥', '포기김치', '육개장', '꽁치구이', '잡곡밥']",0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
"['간장깻잎지', '고추잡채', '쌀밥', '콩가루배추국', '꽃빵', '알타리김치', '잡곡밥', '고등어조림']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['비빔야채만두', '하와이안샐러드', '냉모밀국수', '빠에야', '포기김치', '락교']",1,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['가정의날'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['마파두부덮밥', '찐옥수수', '포기김치', '탕수육', '멕시칸샐러드', '미역장국']",1,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"['닭개장', '생선까스', '가지나물', '감자채볶음', '쌀밥', '탈탈소스', '열무김치', '잡곡밥']",0,1,1,1,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"['삼치된장구이', '돈육씨앗강정', '아욱국', '쌀밥', '청경채무침', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"['감자범벅', '훈제오리냉채', '김밥볶음밥', '비트무피클', '포기김치', '잔치국수']",1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['도토리묵무침', '견과류조림', '쌀밥', '느타리버섯국', '알타리김치', '잡곡밥', '탕수어']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"['가쯔오장국', '쇠고기장조림', '부추생채', '실곤약흑임자무침', '포기김치', '콩나물밥']",0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
"['비름나물', '꽃맛살볶음', '천도복숭아', '쌀밥', '차돌박이찌개', '치킨텐더', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0
"['메밀전병만두', '쌀밥', '열무김치', '근대국', '등갈비김치찜', '잡곡밥', '해파리겨자채']",0,0,0,0,0,1,2,0,1,0,0,2,2,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['야채튀김', '단무지', '가쯔오장국', '포기김치', '과일샐러드', '해물굴소스볶음밥', '비빔메밀국수']",1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"['석박지', '쌀밥', '건파래무침', '뼈해장국', '계란말이', '잡곡밥', '고등어조림']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
"['케이준샐러드', '물냉면', '떡볶이', '무초절이', '포기김치', '멸치주먹밥']",1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"['오징어국', '모둠버섯구이', '쌀밥', '깐풍기', '쑥갓두부무침', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"['도라지생채', '쌀밥', '콩가루배추국', '양파치킨', '열무김치', '해물파전', '잡곡밥']",1,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"['돼지갈비찜', '쫑상추무침', '쌀밥', '풍기샐러드', '포기김치', '콩나물국', '잡곡밥']",1,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['어묵우동', '단호박범벅', '배추겉절이', '미니햄버거', '요플레', '김치볶음밥']",0,1,0,0,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['숙주나물', '해물순두부찌개', '쌀밥', '두부카프레제', '포기김치', '유자청제육볶음', '잡곡밥']",1,0,1,0,2,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"['참치김치찌개', '가지무침', '안동찜닭', '잡채', '쌀밥', '열무김치', '잡곡밥']",0,0,0,0,0,1,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"['파스타샐러드', '핫도그', '충무김밥', '유부주머니국', '오징어무침', '석박지', '음료']",1,0,0,0,1,0,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"['돈육모듬장조림', '청국장찌개', '부추생채', '쌀밥', '포기김치', '잡곡밥', '동그랑땡전']",0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"['타코야끼', '김치주먹밥', '열무김치', '오렌지', '콥샐러드', '콩국수']",1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"['무나물', '생선까스', '쌀밥', '고추장찌개', '탈탈소스', '닭살냉채', '포기김치', '잡곡밥']",1,2,1,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"['닭곰탕', '옥수수전', '쌀밥', '김구이', '열무김치', '잡곡밥', '고등어김치말이']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0
